Week,Date,LSTM,Passive,Correct
54,2004-02-23,1.0,1.001,0.0
55,2004-03-01,1.0,1.011,0.0
56,2004-03-08,1.0,0.979,0.333
57,2004-03-15,0.99,0.97,0.25
58,2004-03-22,0.989,0.968,0.4
59,2004-03-29,1.019,0.998,0.5
60,2004-04-04,1.019,0.996,0.571
61,2004-04-11,1.019,0.992,0.5
62,2004-04-18,1.019,0.997,0.444
63,2004-04-25,1.019,0.968,0.5
64,2004-05-02,1.011,0.96,0.455
65,2004-05-09,1.008,0.958,0.417
66,2004-05-16,1.006,0.956,0.385
67,2004-05-23,1.031,0.98,0.429
68,2004-05-30,1.031,0.981,0.467
69,2004-06-06,1.031,0.993,0.438
70,2004-06-13,1.031,0.992,0.412
71,2004-06-20,1.031,0.992,0.444
72,2004-06-27,1.031,0.984,0.421
73,2004-07-04,1.031,0.973,0.45
74,2004-07-11,1.031,0.963,0.429
75,2004-07-18,1.031,0.949,0.455
76,2004-07-25,1.046,0.963,0.478
77,2004-08-01,1.046,0.93,0.5
78,2004-08-08,1.047,0.931,0.52
79,2004-08-15,1.08,0.96,0.538
80,2004-08-22,1.08,0.968,0.519
81,2004-08-29,1.08,0.973,0.5
82,2004-09-05,1.08,0.982,0.483
83,2004-09-12,1.08,0.986,0.5
84,2004-09-19,1.08,0.97,0.516
85,2004-09-26,1.08,0.989,0.5
86,2004-10-03,1.08,0.981,0.515
87,2004-10-10,1.08,0.969,0.5
88,2004-10-17,1.08,0.958,0.514
89,2004-10-24,1.08,0.988,0.528
90,2004-11-01,1.114,1.019,0.541
91,2004-11-08,1.114,1.035,0.526
92,2004-11-15,1.114,1.023,0.538
93,2004-11-22,1.114,1.034,0.525
94,2004-11-29,1.114,1.041,0.537
95,2004-12-06,1.114,1.038,0.524
96,2004-12-13,1.114,1.044,0.512
97,2004-12-20,1.114,1.058,0.5
98,2004-12-27,1.114,1.059,0.511
99,2005-01-03,1.091,1.037,0.5
100,2005-01-10,1.089,1.035,0.511
101,2005-01-17,1.089,1.021,0.521
102,2005-01-24,1.092,1.024,0.531
103,2005-01-31,1.092,1.051,0.52
104,2005-02-07,1.092,1.053,0.529
105,2005-02-14,1.092,1.05,0.519
106,2005-02-21,1.092,1.059,0.528
107,2005-02-28,1.092,1.068,0.537
108,2005-03-07,1.092,1.049,0.545
109,2005-03-14,1.083,1.04,0.536
110,2005-03-21,1.066,1.024,0.526
111,2005-03-28,1.068,1.025,0.517
112,2005-04-03,1.075,1.032,0.525
113,2005-04-10,1.075,0.999,0.533
114,2005-04-17,1.084,1.007,0.541
115,2005-04-24,1.088,1.011,0.548
116,2005-05-01,1.088,1.024,0.54
117,2005-05-08,1.088,1.009,0.547
118,2005-05-15,1.122,1.039,0.554
119,2005-05-22,1.122,1.048,0.545
120,2005-05-29,1.122,1.045,0.537
121,2005-06-05,1.122,1.047,0.529
122,2005-06-12,1.122,1.064,0.522
123,2005-06-19,1.122,1.041,0.529
124,2005-06-26,1.122,1.044,0.521
125,2005-07-03,1.122,1.059,0.528
126,2005-07-10,1.122,1.073,0.521
127,2005-07-17,1.122,1.078,0.527
128,2005-07-24,1.122,1.079,0.533
129,2005-07-31,1.115,1.072,0.526
130,2005-08-07,1.118,1.075,0.519
131,2005-08-14,1.109,1.066,0.513
132,2005-08-21,1.095,1.053,0.506
133,2005-08-28,1.107,1.065,0.512
134,2005-09-04,1.107,1.085,0.506
135,2005-09-11,1.107,1.082,0.5
136,2005-09-18,1.107,1.062,0.506
137,2005-09-25,1.119,1.074,0.512
138,2005-10-02,1.119,1.045,0.518
139,2005-10-09,1.111,1.037,0.512
