Week,Date,LSTM,Passive,Correct
54,2004-02-23,1.0,1.001,0.0
55,2004-03-01,1.0,1.011,0.0
56,2004-03-08,1.0,0.979,0.33333
57,2004-03-15,0.99,0.97,0.25
58,2004-03-22,0.989,0.968,0.4
59,2004-03-29,1.019,0.998,0.5
60,2004-04-04,1.019,0.996,0.57143
61,2004-04-11,1.019,0.992,0.5
62,2004-04-18,1.019,0.997,0.44444
63,2004-04-25,1.019,0.968,0.5
64,2004-05-02,1.011,0.96,0.45455
65,2004-05-09,1.008,0.958,0.41667
66,2004-05-16,1.006,0.956,0.38462
67,2004-05-23,1.031,0.98,0.42857
68,2004-05-30,1.031,0.981,0.46667
69,2004-06-06,1.031,0.993,0.4375
70,2004-06-13,1.031,0.992,0.41176
71,2004-06-20,1.031,0.992,0.44444
72,2004-06-27,1.031,0.984,0.42105
73,2004-07-04,1.031,0.973,0.45
74,2004-07-11,1.021,0.963,0.47619
75,2004-07-18,1.021,0.949,0.5
76,2004-07-25,1.035,0.963,0.52174
77,2004-08-01,1.035,0.93,0.54167
78,2004-08-08,1.036,0.931,0.56
79,2004-08-15,1.069,0.96,0.57692
80,2004-08-22,1.069,0.968,0.55556
81,2004-08-29,1.069,0.973,0.53571
82,2004-09-05,1.069,0.982,0.51724
83,2004-09-12,1.069,0.986,0.53333
84,2004-09-19,1.069,0.97,0.54839
85,2004-09-26,1.089,0.989,0.5625
86,2004-10-03,1.089,0.981,0.57576
87,2004-10-10,1.076,0.969,0.58824
88,2004-10-17,1.076,0.958,0.6
89,2004-10-24,1.076,0.988,0.61111
90,2004-11-01,1.11,1.019,0.62162
91,2004-11-08,1.11,1.035,0.60526
92,2004-11-15,1.11,1.023,0.61538
93,2004-11-22,1.11,1.034,0.6
94,2004-11-29,1.11,1.041,0.60976
95,2004-12-06,1.11,1.038,0.59524
96,2004-12-13,1.11,1.044,0.5814
97,2004-12-20,1.11,1.058,0.56818
98,2004-12-27,1.11,1.059,0.57778
99,2005-01-03,1.086,1.037,0.56522
100,2005-01-10,1.086,1.035,0.55319
101,2005-01-17,1.086,1.021,0.5625
102,2005-01-24,1.09,1.024,0.57143
103,2005-01-31,1.09,1.051,0.56
104,2005-02-07,1.09,1.053,0.56863
105,2005-02-14,1.09,1.05,0.55769
106,2005-02-21,1.09,1.059,0.56604
107,2005-02-28,1.09,1.068,0.57407
108,2005-03-07,1.09,1.049,0.58182
109,2005-03-14,1.08,1.04,0.57143
110,2005-03-21,1.064,1.024,0.5614
111,2005-03-28,1.065,1.025,0.55172
112,2005-04-03,1.073,1.032,0.55932
113,2005-04-10,1.073,0.999,0.56667
114,2005-04-17,1.081,1.007,0.57377
115,2005-04-24,1.081,1.011,0.56452
116,2005-05-01,1.095,1.024,0.57143
117,2005-05-08,1.095,1.009,0.57812
118,2005-05-15,1.128,1.039,0.58462
119,2005-05-22,1.128,1.048,0.57576
120,2005-05-29,1.128,1.045,0.56716
121,2005-06-05,1.128,1.047,0.55882
122,2005-06-12,1.128,1.064,0.55072
123,2005-06-19,1.128,1.041,0.55714
124,2005-06-26,1.131,1.044,0.56338
125,2005-07-03,1.131,1.059,0.56944
126,2005-07-10,1.131,1.073,0.56164
127,2005-07-17,1.131,1.078,0.56757
128,2005-07-24,1.131,1.079,0.57333
129,2005-07-31,1.124,1.072,0.56579
130,2005-08-07,1.128,1.075,0.55844
131,2005-08-14,1.118,1.066,0.55128
132,2005-08-21,1.105,1.053,0.5443
133,2005-08-28,1.116,1.065,0.55
134,2005-09-04,1.138,1.085,0.55556
135,2005-09-11,1.138,1.082,0.54878
136,2005-09-18,1.138,1.062,0.55422
