Date,Open,High,Low,Close,Adj Close,Volume
2013-02-11,4119.57,4124.63,4093.38,4111.08,4111.08,4114240000.00
2013-02-18,4049.27,4195.44,4015.55,4136.48,4136.48,23657120000.00
2013-02-25,3978.14,4094.21,3949.06,4070.56,4070.56,18707010000.00
2013-03-04,3999.28,4015.39,3885.54,3972.61,3972.61,16539130000.00
2013-03-11,3910.82,4003.95,3877.29,3999.09,3999.09,20846120000.00
2013-03-18,3853.29,3906.19,3794.33,3895.08,3895.08,16190230000.00
2013-03-25,3843.34,3858.19,3780.78,3839.50,3839.50,12097370000.00
2013-04-01,3853.79,3889.82,3764.49,3844.82,3844.82,18506410000.00
2013-04-08,3939.29,4100.96,3827.91,3852.36,3852.36,25443390000.00
2013-04-15,4052.02,4052.45,3918.39,3934.38,3934.38,20662410000.00
2013-04-22,4005.36,4100.51,3937.65,4071.70,4071.70,22280580000.00
2013-04-29,3956.23,4034.02,3933.34,4026.12,4026.12,12724860000.00
2013-05-06,3977.97,4028.84,3906.54,3965.34,3965.34,21831700000.00
2013-05-13,3780.71,4001.48,3744.22,3992.93,3992.93,24968840000.00
2013-05-20,3881.85,3911.79,3698.15,3770.55,3770.55,24226300000.00
2013-05-27,3762.01,3905.42,3741.65,3901.06,3901.06,23555090000.00
2013-06-03,3638.65,3762.79,3638.65,3752.75,3752.75,22634960000.00
2013-06-10,3647.51,3712.00,3491.58,3583.07,3583.07,21864890000.00
2013-06-17,3609.78,3806.91,3604.93,3639.66,3639.66,22948200000.00
2013-06-24,3682.72,3736.74,3584.13,3585.62,3585.62,24475900000.00
2013-07-01,3849.91,3907.07,3647.47,3693.23,3693.23,21332100000.00
2013-07-08,4083.67,4119.28,3837.08,3873.33,3873.33,24728470000.00
2013-07-15,3930.89,4076.81,3886.75,4067.36,4067.36,15886450000.00
2013-07-22,4034.58,4062.99,3903.65,3924.26,3924.26,19592960000.00
2013-07-29,4195.08,4203.04,4057.66,4057.66,4057.66,18714200000.00
2013-08-05,4269.37,4325.28,4218.70,4228.48,4228.48,19013350000.00
2013-08-12,4155.93,4280.47,4112.09,4280.15,4280.15,21098400000.00
2013-08-19,4112.38,4167.66,4079.81,4145.19,4145.19,21651540000.00
2013-08-26,3965.72,4140.15,3910.74,4130.29,4130.29,20488830000.00
2013-09-02,3883.79,4012.44,3818.63,3961.63,3961.63,20385270000.00
2013-09-09,3880.94,3880.94,3721.56,3863.16,3863.16,19693570000.00
2013-09-16,3792.61,3918.50,3742.06,3899.38,3899.38,17073700000.00
2013-09-23,3920.76,3945.86,3738.67,3825.33,3825.33,21693690000.00
2013-09-30,3715.31,3913.65,3715.31,3911.74,3911.74,23570150000.00
2013-10-07,3838.15,3838.15,3636.87,3674.84,3674.84,30486930000.00
2013-10-14,4134.72,4168.78,3900.16,3900.86,3900.86,21764190000.00
2013-10-21,4151.09,4177.51,4073.85,4108.54,4108.54,19471340000.00
2013-10-28,3919.42,4158.49,3875.13,4158.24,4158.24,23231370000.00
2013-11-04,4013.02,4090.72,3810.32,3901.36,3901.36,24603940000.00
2013-11-11,4081.27,4081.27,3858.87,4023.89,4023.89,29126270000.00
2013-11-18,4130.61,4307.66,4062.51,4123.34,4123.34,25076170000.00
2013-11-25,4255.34,4308.45,4124.28,4131.93,4131.93,24637900000.00
2013-12-02,4385.63,4512.94,4267.62,4271.78,4271.78,21597890000.00
2013-12-09,4462.64,4471.00,4381.34,4392.59,4392.59,16329620000.00
2013-12-16,4547.97,4593.45,4450.04,4488.28,4488.28,23239490000.00
2013-12-23,4541.09,4637.30,4507.57,4545.86,4545.86,23169700000.00
2013-12-30,4462.40,4546.03,4424.30,4543.06,4543.06,22611740000.00
2014-01-06,4202.75,4465.40,4161.72,4463.12,4463.12,30540660000.00
2014-01-13,4327.01,4327.01,4157.87,4204.31,4204.31,29765730000.00
2014-01-20,4354.17,4416.78,4279.54,4328.87,4328.87,28092740000.00
2014-01-27,4332.74,4385.34,4114.65,4384.65,4384.65,21848520000.00
2014-02-03,4412.61,4489.55,4327.22,4348.87,4348.87,22562340000.00
2014-02-10,4505.75,4590.03,4401.41,4418.64,4418.64,23778810000.00
2014-02-17,4431.79,4595.31,4414.02,4500.53,4500.53,23505280000.00
2014-02-24,4356.32,4453.23,4222.62,4431.85,4431.85,27889090000.00
2014-03-03,4632.24,4632.24,4395.34,4397.94,4397.94,19444410000.00
2014-03-10,4655.34,4748.83,4582.24,4662.85,4662.85,21251840000.00
2014-03-17,4778.14,4818.62,4662.74,4677.03,4677.03,21878940000.00
2014-03-24,4733.99,4808.93,4733.99,4766.18,4766.18,14244290000.00
2014-03-31,4587.90,4740.74,4531.10,4725.79,4725.79,14940780000.00
2014-04-07,4710.30,4731.99,4600.22,4620.64,4620.64,26609380000.00
2014-04-14,4548.37,4713.57,4540.51,4712.02,4712.02,21271750000.00
2014-04-21,4628.75,4672.95,4495.12,4538.43,4538.43,26646380000.00
