Date,Open,High,Low,Close,Adj Close,Volume,Log Return
2013-02-11,35.380001,35.779999,34.779999,35.139999,26.744488,14550200,0.0
2013-02-18,35.0,35.73,32.959999,34.09,25.945349,13847500,-0.03033603177346043
2013-02-25,34.130001,34.369999,32.66,33.700001,25.648531,16744500,-0.011506065239750056
2013-03-04,33.560001,35.41,33.009998,35.27,26.84343,12255100,0.04553479925372207
2013-03-11,35.080002,36.98,34.970001,36.0,27.399025,15604100,0.020486330544004058
2013-03-18,35.580002,36.080002,35.040001,35.799999,27.246801,13684700,-0.00557130909672815
2013-03-25,35.869999,35.98,35.25,35.919998,27.483475,5204500,0.008648795240821093
2013-04-01,35.82,36.0,33.330002,34.330002,26.266912,8961500,-0.04527486670976013
2013-04-08,34.25,35.919998,33.970001,34.91,26.710688,7758900,0.016753736679523644
2013-04-15,34.68,34.73,30.83,31.26,23.917963,18937100,-0.11043401833981897
2013-04-22,31.360001,33.189999,30.57,32.110001,24.568317,15007000,0.026827919425149966
2013-04-29,32.349998,32.790001,31.25,31.879999,24.392345,18944600,-0.00718833245092113
2013-05-06,32.049999,34.139999,31.959999,34.060001,26.060326,11979100,0.06614472764413938
2013-05-13,33.830002,34.779999,33.330002,34.43,26.343431,10002900,0.010804864783066434
2013-05-20,34.240002,35.240002,33.68,34.099998,26.090933,11212800,-0.009631086657630326
2013-05-27,34.529999,38.27,34.009998,37.73,28.868353,15981600,0.10115808387073356
2013-06-03,37.68,38.189999,36.150002,37.290001,28.531702,13581300,-0.011730123259912744
2013-06-10,37.5,37.799999,35.619999,37.59,28.761234,12023400,0.0080126187994378
2013-06-17,37.799999,38.869999,36.619999,37.380001,28.768465,18781300,0.0002513832042847903
2013-06-24,36.98,37.84,36.099998,37.380001,28.768465,13289500,0.0
2013-07-01,37.849998,39.18,37.34,38.810001,29.86903,9717400,0.037542335694809345
2013-07-08,38.93,39.029999,37.189999,38.950001,29.976778,8897200,0.003600857604705221
2013-07-15,38.98,39.740002,37.450001,37.849998,29.130194,13160400,-0.028647784501135757
2013-07-22,38.23,38.23,36.299999,36.779999,28.306698,8464400,-0.028676775659562472
2013-07-29,36.619999,37.52,36.34,37.490002,28.853125,7255100,0.019119850888358596
2013-08-05,37.220001,37.599998,36.68,36.830002,28.345179,7379200,-0.017761343175782877
2013-08-12,36.84,38.119999,35.75,36.25,27.898792,7755900,-0.01587357240415556
2013-08-19,36.32,37.130001,36.080002,36.740002,28.275908,8348300,0.013426744261832371
2013-08-26,36.950001,39.450001,36.349998,38.509998,29.63814,17258700,0.04705191076164527
2013-09-02,38.82,39.200001,38.040001,38.560001,29.676619,6146600,0.0012974512936282665
2013-09-09,38.869999,39.669998,38.610001,38.990002,30.007561,9912100,0.011089886524400776
2013-09-16,39.369999,42.580002,39.040001,41.619999,32.03167,19466000,0.06527571764151627
2013-09-23,42.580002,42.77,41.419998,42.700001,33.056408,11892000,0.03149033467030849
2013-09-30,42.099998,43.73,41.970001,43.5,33.675732,12006900,0.01856202370169403
2013-10-07,43.5,43.669998,41.830002,43.290001,33.513157,11530600,-0.004839351258892932
2013-10-14,43.130001,46.279999,43.009998,46.060001,35.657574,10664600,0.06202347071796389
2013-10-21,46.150002,47.209999,44.709999,45.630001,35.32468,19978000,-0.009379708923721754
2013-10-28,45.349998,46.279999,44.400002,44.720001,34.620213,10141800,-0.020144167547156738
2013-11-04,45.09,45.5,43.099998,44.349998,34.333771,10517800,-0.008308255189042813
2013-11-11,44.439999,45.380001,42.580002,44.610001,34.535042,14047000,0.0058450716446260915
2013-11-18,44.610001,44.720001,42.450001,43.299999,33.520905,6349700,-0.02980524464161438
2013-11-25,43.93,45.09,43.400002,44.73,34.627949,6520000,0.032491856499758456
2013-12-02,45.490002,48.310001,44.419998,46.959999,36.354309,14058500,0.04865160835135674
2013-12-09,47.09,47.540001,45.610001,45.650002,35.340176,7927500,-0.028292291835653
2013-12-16,49.709999,54.540001,48.360001,51.650002,39.985096,31080600,0.12348633760974295
2013-12-23,52.279999,53.060001,51.799999,52.779999,41.05151,3548900,0.026320834949855765
2013-12-30,52.790001,53.299999,51.889999,52.849998,41.105946,4581500,0.0013251629399541555
2014-01-06,52.799999,54.169998,52.43,53.299999,41.455948,7799100,0.008478586905895853
2014-01-13,53.619999,57.18,52.389999,56.139999,43.664879,13125100,0.051912725286708615
2014-01-20,56.610001,57.18,54.150002,54.490002,42.381531,7510000,-0.029831417045170557
2014-01-27,54.619999,55.939999,52.959999,54.639999,42.49818,9800100,0.0027485737654532752
2014-02-03,54.799999,56.84,52.959999,56.57,43.999317,6901700,0.03471285958650382
