Date,Open,High,Low,Close,Adj Close,Volume
2013-02-11,36.560001,36.580002,34.430000,36.119999,29.904688,23568200
2013-02-18,35.599998,36.599998,35.180000,36.590000,30.293825,12350100
2013-02-25,36.680000,37.250000,35.529999,37.240002,30.831966,25253200
2013-03-04,37.009998,37.470001,36.799999,36.980000,30.616707,14682400
2013-03-11,36.910000,37.180000,36.400002,37.090000,30.707783,13551500
2013-03-18,36.630001,37.660000,36.590000,37.400002,30.964439,14581100
2013-03-25,37.500000,38.000000,37.150002,37.970001,31.436357,10395800
2013-04-01,37.880001,38.130001,37.139999,37.389999,30.956152,10985000
2013-04-08,37.110001,38.630001,37.009998,38.340000,31.742683,14231200
2013-04-15,38.299999,38.299999,37.000000,37.270000,31.047794,13256700
2013-04-22,37.320000,37.740002,37.090000,37.330002,31.097771,9981200
2013-04-29,37.389999,38.930000,37.310001,38.770000,32.297367,11585000
2013-05-06,38.799999,39.849998,38.660000,39.470001,32.880505,11024200
2013-05-13,39.470001,41.090000,39.340000,41.090000,34.230042,13263800
2013-05-20,41.000000,41.680000,40.029999,40.430000,33.680225,12331700
2013-05-27,40.770000,41.130001,40.009998,40.020000,33.338676,9622000
2013-06-03,40.060001,40.570000,37.470001,40.450001,33.696903,12595100
2013-06-10,40.520000,40.660000,39.590000,39.950001,33.280373,10234300
2013-06-17,40.139999,40.470001,38.830002,39.340000,32.772213,17875700
2013-06-24,38.990002,40.330002,38.500000,39.919998,33.255379,12615200
2013-07-01,40.070000,40.970001,39.959999,40.950001,34.113426,7352600
2013-07-08,41.060001,41.880001,40.320000,41.650002,34.696552,10364500
2013-07-15,41.700001,41.980000,41.389999,41.799999,35.036243,7600100
2013-07-22,41.759998,42.000000,41.389999,41.990002,35.195503,7842900
2013-07-29,41.910000,42.639999,41.590000,42.490002,35.614582,7644800
2013-08-05,42.380001,42.459999,41.279999,41.900002,35.120060,7132100
2013-08-12,41.750000,42.299999,41.459999,41.720001,34.969196,7677100
2013-08-19,41.700001,42.820000,41.520000,42.509998,35.631359,13580100
2013-08-26,42.509998,42.630001,40.939999,41.230000,34.558483,10187500
2013-09-02,41.759998,41.930000,40.950001,41.310001,34.625538,7258800
2013-09-09,41.360001,42.580002,41.349998,42.410000,35.547539,9918100
2013-09-16,42.689999,44.459999,42.619999,44.230000,37.073036,14061400
2013-09-23,44.160000,44.630001,43.549999,43.759998,36.679092,15922900
2013-09-30,43.459999,43.860001,42.779999,43.540001,36.494698,11467900
2013-10-07,43.009998,43.299999,41.980000,43.259998,36.260006,12279200
2013-10-14,43.099998,45.599998,42.990002,45.529999,38.387810,13402500
2013-10-21,45.500000,46.779999,45.290001,46.560001,39.256229,11527100
2013-10-28,46.570000,46.750000,45.650002,45.930000,38.725063,10097600
2013-11-04,46.049999,46.599998,45.480000,46.139999,38.902122,10936300
2013-11-11,46.209999,47.310001,46.009998,47.270000,39.854870,9199400
2013-11-18,47.250000,47.950001,46.990002,47.939999,40.419762,8783200
2013-11-25,47.919998,47.970001,47.349998,47.450001,40.006622,5884900
2013-12-02,47.459999,48.040001,46.689999,48.029999,40.495636,9371300
2013-12-09,48.080002,48.360001,47.169998,47.250000,39.837986,8843400
2013-12-16,47.450001,48.410000,46.849998,48.130001,40.579952,9576800
2013-12-23,48.389999,48.509998,47.860001,48.290001,40.714851,5088000
2013-12-30,48.349998,48.560001,47.610001,47.849998,40.343864,5362800
2014-01-06,48.060001,48.709999,47.520000,48.189999,40.630543,7917900
2014-01-13,47.459999,48.730000,47.299999,48.500000,40.891914,9578700
2014-01-20,48.630001,48.830002,46.369999,46.369999,39.096046,9346700
2014-01-27,46.040001,46.410000,45.450001,45.709999,38.539574,13863600
2014-02-03,45.720001,45.900002,44.250000,45.880001,38.892597,16455800
2014-02-10,45.810001,47.689999,45.389999,47.669998,40.409973,9520800
2014-02-17,47.410000,48.189999,47.299999,47.959999,40.655819,7962700
2014-02-24,47.990002,48.480000,47.500000,48.160000,40.825348,10852700
2014-03-03,47.299999,49.700001,47.020000,49.560001,42.012131,11469200
2014-03-10,49.540001,50.119999,49.009998,49.110001,41.630676,14589500
2014-03-17,49.470001,50.480000,49.290001,49.959999,42.351219,11485100
2014-03-24,50.119999,50.290001,48.189999,48.590000,41.189869,9645600
2014-03-31,48.939999,50.450001,48.910000,49.119999,41.639137,8709300
2014-04-07,49.189999,50.220001,46.779999,47.060001,39.892872,11581500
2014-04-14,47.500000,48.540001,46.939999,48.270000,41.131588,7984200
2014-04-21,48.279999,48.759998,48.110001,48.619999,41.429836,7914700
2014-04-28,48.790001,49.730000,48.180000,48.459999,41.293488,11251100
2014-05-05,48.189999,49.080002,47.840000,48.930000,41.693977,9264500
2014-05-12,49.189999,49.430000,48.169998,48.970001,41.728073,9246700
2014-05-19,48.900002,49.799999,48.660000,49.669998,42.324543,10088700
2014-05-26,49.779999,50.310001,49.650002,50.270000,42.835819,7624200
2014-06-02,50.270000,51.080002,50.110001,51.060001,43.509003,12191000
2014-06-09,51.000000,51.250000,50.430000,50.820000,43.304482,10040900
2014-06-16,50.830002,52.389999,50.450001,52.150002,44.437786,13353000
2014-06-23,52.070000,52.270000,51.619999,51.880001,44.207729,7324200
2014-06-30,51.790001,52.299999,51.630001,52.020000,44.327011,6263000
2014-07-07,51.849998,52.259998,51.220001,52.209999,44.488930,10182700
2014-07-14,52.500000,52.660000,51.639999,52.110001,44.644646,10184700
2014-07-21,52.049999,52.759998,51.330002,51.430000,44.062080,9454000
2014-07-28,51.400002,53.549999,50.349998,50.599998,43.350990,17002200
2014-08-04,50.660000,51.419998,50.090000,51.389999,44.027809,13142700
2014-08-11,51.439999,52.119999,51.279999,51.610001,44.216290,7117000
2014-08-18,51.889999,52.389999,51.700001,52.160000,44.687492,6766000
2014-08-25,52.480000,53.160000,52.340000,53.099998,45.492817,6759500
2014-09-01,53.220001,53.369999,52.810001,53.049999,45.449989,5621400
2014-09-08,53.049999,53.340000,52.320000,52.689999,45.141567,7209100
2014-09-15,52.770000,53.639999,52.630001,53.080002,45.475712,8554400
2014-09-22,52.919998,53.080002,51.650002,52.540001,45.013073,8268400
2014-09-29,52.090000,52.759998,51.470001,52.310001,44.816010,8541800
2014-10-06,52.580002,52.599998,49.779999,49.790001,42.657032,18827500
2014-10-13,49.689999,50.790001,48.660000,50.630001,43.615582,15999300
2014-10-20,50.619999,51.660000,50.310001,51.630001,44.477036,9948000
2014-10-27,51.660000,54.389999,50.790001,54.369999,46.837425,9433600
2014-11-03,54.299999,55.990002,54.299999,55.799999,48.069317,11291100
2014-11-10,55.660000,56.389999,55.630001,55.770000,48.043476,7228000
2014-11-17,55.580002,56.439999,55.470001,56.119999,48.344975,7408200
2014-11-24,56.250000,56.959999,56.119999,56.590000,48.749870,4506500
2014-12-01,56.500000,58.560001,56.310001,58.230000,50.162655,8459400
2014-12-08,58.270000,58.740002,56.480000,56.500000,48.672337,11451100
2014-12-15,56.939999,58.310001,56.049999,57.990002,49.955906,12119600
2014-12-22,57.810001,58.639999,57.810001,58.060001,50.016220,4443200
2014-12-29,57.869999,58.549999,56.580002,56.970001,49.077221,4688800
2015-01-05,56.700001,57.650002,55.540001,56.709999,48.853249,9585800
2015-01-12,56.720001,57.270000,55.480000,56.730000,48.870468,8721300
2015-01-19,57.049999,57.259998,56.029999,56.650002,48.801559,7664200
2015-01-26,56.450001,56.700001,53.700001,53.770000,46.550880,12932700
2015-02-02,53.849998,56.090000,53.500000,55.430000,47.988014,15343700
2015-02-09,54.490002,56.560001,54.490002,56.310001,48.749870,13440700
2015-02-16,56.320000,57.240002,56.200001,57.130001,49.459766,8807200
2015-02-23,56.990002,57.580002,56.740002,56.889999,49.251995,9667200
2015-03-02,56.889999,57.369999,56.270000,56.349998,48.784489,9355100
2015-03-09,56.279999,56.680000,55.340000,56.110001,48.576717,10428600
2015-03-16,56.360001,58.110001,56.340000,57.860001,50.091770,9644900
2015-03-23,57.980000,58.070000,55.439999,55.619999,48.152515,8429800
2015-03-30,55.950001,56.669998,55.790001,56.560001,48.966293,6265600
2015-04-06,56.090000,57.430000,56.090000,57.119999,49.451111,8518200
2015-04-13,57.049999,57.740002,56.049999,56.189999,48.887218,10317800
2015-04-20,56.299999,57.009998,56.110001,56.959999,49.557156,10748300
2015-04-27,57.110001,57.240002,56.029999,56.660000,49.296139,10459300
2015-05-04,56.660000,57.990002,56.110001,57.959999,50.427189,11465000
2015-05-11,57.820000,58.360001,57.180000,57.860001,50.340187,8980400
2015-05-18,57.799999,59.279999,57.799999,59.000000,51.332024,8403800
2015-05-25,58.720001,59.000000,58.230000,58.230000,50.662090,7382900
2015-06-01,58.389999,58.820000,57.689999,57.849998,50.331474,9153300
2015-06-08,57.799999,59.450001,57.669998,59.119999,51.436420,9291000
2015-06-15,58.610001,59.990002,58.450001,59.430000,51.706127,9930800
2015-06-22,59.290001,59.720001,58.119999,58.310001,50.731697,9997000
2015-06-29,57.840000,57.880001,56.500000,57.189999,49.757263,9085300
2015-07-06,56.639999,57.500000,56.189999,57.169998,49.739853,11248100
2015-07-13,57.630001,58.580002,57.439999,58.369999,51.059219,7171800
2015-07-20,58.360001,58.830002,58.130001,58.250000,50.954250,6712200
2015-07-27,58.040001,58.340000,57.259998,57.939999,50.683079,10575000
2015-08-03,58.090000,58.590000,57.270000,57.810001,50.569370,6132400
2015-08-10,58.180000,58.750000,57.080002,58.160000,50.875530,6498700
2015-08-17,57.790001,58.430000,55.279999,55.320000,48.391232,9089900
2015-08-24,53.150002,54.730000,50.900002,54.130001,47.350285,19146900
2015-08-31,53.880001,53.959999,51.740002,51.990002,45.478310,12708400
2015-09-07,53.310001,54.990002,53.099998,54.090000,47.315289,15032700
2015-09-14,54.070000,55.099998,52.560001,53.090000,46.440536,16265400
2015-09-21,53.490002,53.830002,52.070000,52.650002,46.055649,11004800
2015-09-28,52.299999,52.590000,51.049999,52.580002,45.994411,11277000
2015-10-05,52.959999,54.049999,52.709999,53.439999,46.746700,10701300
2015-10-12,53.400002,54.189999,52.720001,53.959999,47.479282,10898700
2015-10-19,53.900002,55.470001,53.540001,55.299999,48.658344,8085500
2015-10-26,55.310001,56.419998,53.689999,55.740002,49.045490,12554100
2015-11-02,55.860001,56.700001,55.720001,56.110001,49.371063,10304700
2015-11-09,56.020000,56.080002,54.090000,54.150002,47.646469,10356100
2015-11-16,54.000000,56.130001,53.950001,55.889999,49.177494,7628100
2015-11-23,55.950001,56.099998,55.060001,55.389999,48.737537,3897200
2015-11-30,55.560001,56.880001,55.009998,56.860001,50.030991,13213100
2015-12-07,56.580002,57.000000,54.770000,54.889999,48.297577,12617000
2015-12-14,55.049999,57.459999,54.240002,54.509998,47.963223,14768500
2015-12-21,54.910000,55.759998,53.970001,55.540001,48.869522,5515200
2015-12-28,55.250000,56.529999,55.060001,55.450001,48.790329,4505100
2016-01-04,54.480000,55.029999,52.889999,52.950001,46.590584,15976200
2016-01-11,52.439999,54.020000,51.770000,52.209999,45.939457,17014400
2016-01-18,52.759998,52.830002,50.810001,52.290001,46.009857,9859400
2016-01-25,52.270000,53.369999,51.320000,53.330002,47.208904,10142300
2016-02-01,53.209999,54.730000,51.250000,54.650002,48.377392,15032200
2016-02-08,53.980000,56.680000,53.970001,56.080002,49.643257,13278300
2016-02-15,56.459999,57.610001,56.259998,57.310001,50.732071,10173500
2016-02-22,57.540001,58.169998,56.509998,57.500000,50.900269,10376900
2016-02-29,57.500000,58.119999,57.020000,58.009998,51.351738,12722900
2016-03-07,57.480000,58.770000,56.980000,58.740002,51.997948,9517000
2016-03-14,58.480000,60.130001,58.209999,59.799999,52.936283,11920700
2016-03-21,60.000000,60.220001,59.110001,59.799999,52.936283,5887400
2016-03-28,59.830002,61.459999,59.770000,61.369999,54.326080,7316800
2016-04-04,61.360001,61.610001,59.849998,60.509998,53.564785,7695600
2016-04-11,60.889999,62.540001,60.650002,62.320000,55.451454,9314600
2016-04-18,62.180000,63.669998,61.970001,62.189999,55.335781,8382600
2016-04-25,62.099998,63.480000,60.040001,63.150002,56.189976,9614600
2016-05-02,63.310001,63.779999,62.930000,63.220001,56.252262,9323200
2016-05-09,63.180000,64.620003,62.970001,63.950001,56.901798,6949900
2016-05-16,63.830002,64.860001,63.779999,64.199997,57.124252,8500400
2016-05-23,64.099998,66.089996,64.019997,65.930000,58.663578,7774500
2016-05-30,66.160004,66.440002,65.529999,66.169998,58.877125,6742300
2016-06-06,66.139999,66.839996,65.970001,66.349998,59.037292,7026900
2016-06-13,66.260002,66.489998,64.849998,65.860001,58.601292,9050900
2016-06-20,66.639999,67.910004,64.760002,64.879997,57.729305,11561800
2016-06-27,64.129997,68.690002,63.389999,68.110001,60.603329,13943000
2016-07-04,67.779999,67.970001,66.570000,67.169998,59.766922,18933100
2016-07-11,67.589996,67.900002,66.480003,66.519997,59.489952,13484100
2016-07-18,66.680000,66.709999,65.800003,66.480003,59.454178,7721700
2016-07-25,66.529999,66.779999,65.680000,65.750000,58.801331,11854900
2016-08-01,65.779999,66.839996,65.690002,66.629997,59.588333,11206700
2016-08-08,66.580002,67.559998,66.519997,67.389999,60.268024,8075000
2016-08-15,67.400002,67.599998,66.629997,67.050003,59.963951,7129900
2016-08-22,66.889999,68.050003,66.830002,67.190002,60.089153,7046800
2016-08-29,67.230003,68.320000,67.230003,68.300003,61.081841,7240900
2016-09-05,68.300003,68.330002,65.989998,65.989998,59.015965,7999400
2016-09-12,65.690002,67.309998,65.480003,65.910004,58.944424,10889100
2016-09-19,66.269997,68.309998,66.019997,67.349998,60.232243,7878800
2016-09-26,66.970001,67.720001,66.290001,67.250000,60.142815,10247500
2016-10-03,67.019997,67.099998,65.599998,66.650002,59.606216,10048600
2016-10-10,67.000000,67.230003,65.389999,65.989998,59.320080,8379800
2016-10-17,66.129997,66.129997,64.370003,65.029999,58.457108,9796400
2016-10-24,65.379997,65.589996,62.330002,63.450001,57.036808,15658200
2016-10-31,63.689999,64.269997,62.610001,63.900002,57.441326,11889200
2016-11-07,64.910004,68.339996,64.500000,67.779999,60.929165,14697000
2016-11-14,68.099998,69.430000,67.260002,69.230003,62.232601,10390100
2016-11-21,69.410004,69.769997,68.870003,69.769997,62.718002,6696500
2016-11-28,69.330002,69.760002,68.230003,68.389999,61.477512,10570500
2016-12-05,68.940002,69.660004,68.360001,69.470001,62.448334,12988100
2016-12-12,69.349998,69.739998,68.099998,68.459999,61.540428,16645700
2016-12-19,68.559998,69.050003,68.070000,68.519997,61.594341,10442100
2016-12-26,68.550003,68.610001,67.389999,67.589996,60.758373,4712500
2017-01-02,67.849998,68.830002,67.309998,68.680000,61.738190,7438100
2017-01-09,68.419998,68.430000,66.750000,67.730003,60.884209,8444100
2017-01-16,67.400002,68.320000,67.160004,67.989998,61.117924,6819800
2017-01-23,67.580002,69.180000,67.330002,68.849998,61.891006,8587300
2017-01-30,68.559998,70.599998,67.320000,70.519997,63.710827,12109900
2017-02-06,70.199997,71.290001,69.330002,71.080002,64.216728,9569000
2017-02-13,71.250000,73.519997,71.029999,73.519997,66.421143,8718900
2017-02-20,73.379997,73.739998,72.500000,73.510002,66.412109,7344000
2017-02-27,73.650002,74.760002,72.660004,74.220001,67.053543,6635400
