Date,Open,High,Low,Close,Adj Close,Volume
2013-02-11,3.117500,3.197500,3.012500,3.182500,2.939590,315846400
2013-02-18,3.185000,3.200000,3.065000,3.130000,2.891097,209712000
2013-02-25,3.137500,3.212500,3.052500,3.177500,2.934971,258971600
2013-03-04,3.155000,3.250000,3.130000,3.205000,2.978534,162406400
2013-03-11,3.172500,3.240000,3.140000,3.160000,2.936714,183552400
2013-03-18,3.140000,3.167500,3.095000,3.120000,2.899540,156588800
2013-03-25,3.137500,3.210000,3.080000,3.207500,2.980858,119883600
2013-04-01,3.200000,3.200000,3.010000,3.115000,2.894894,201353600
2013-04-08,3.117500,3.307500,3.050000,3.272500,3.041265,283170000
2013-04-15,3.262500,3.272500,3.092500,3.142500,2.920450,213778800
2013-04-22,3.140000,3.375000,3.115000,3.352500,3.115612,185662800
2013-04-29,3.357500,3.492500,3.342500,3.467500,3.222486,150508400
2013-05-06,3.467500,3.650000,3.380000,3.635000,3.378151,242715200
2013-05-13,3.610000,3.742500,3.545000,3.717500,3.454821,167760800
2013-05-20,3.702500,3.745000,3.547500,3.635000,3.378151,175175600
2013-05-27,3.662500,3.695000,3.595000,3.617500,3.378964,147636400
2013-06-03,3.622500,3.700000,3.530000,3.612500,3.374294,188829200
2013-06-10,3.602500,3.632500,3.492500,3.587500,3.350943,130534000
2013-06-17,3.615000,3.870000,3.545000,3.605000,3.367289,324462000
2013-06-24,3.552500,3.600000,3.457500,3.510000,3.278553,285745600
2013-07-01,3.535000,3.575000,3.490000,3.560000,3.325256,78098800
2013-07-08,3.570000,3.695000,3.522500,3.660000,3.418662,108410800
2013-07-15,3.667500,3.692500,3.522500,3.560000,3.325256,135501200
2013-07-22,3.587500,3.620000,3.522500,3.550000,3.315915,129410800
2013-07-29,3.542500,3.697500,3.532500,3.690000,3.446683,120305200
2013-08-05,3.680000,3.720000,3.527500,3.622500,3.383634,188809600
2013-08-12,3.475000,3.850000,3.277500,3.797500,3.547095,266761600
2013-08-19,3.775000,3.787500,3.705000,3.740000,3.493387,126330000
2013-08-26,3.742500,3.757500,3.670000,3.687500,3.461715,155077600
2013-09-02,3.697500,3.757500,3.667500,3.720000,3.492225,90842000
2013-09-09,3.750000,3.975000,3.740000,3.950000,3.708143,139820800
2013-09-16,3.982500,4.025000,3.937500,3.947500,3.705795,125179600
2013-09-23,3.945000,3.977500,3.872500,3.895000,3.656510,103486800
2013-09-30,3.855000,3.930000,3.827500,3.897500,3.658857,129864800
2013-10-07,3.882500,3.942500,3.775000,3.815000,3.581409,117371200
2013-10-14,3.805000,3.965000,3.805000,3.952500,3.710490,105391200
2013-10-21,4.000000,4.002500,3.797500,3.810000,3.576714,119360400
2013-10-28,3.805000,3.837500,3.750000,3.815000,3.581409,148551200
2013-11-04,3.827500,3.902500,3.630000,3.890000,3.651816,231828400
2013-11-11,3.875000,4.080000,3.867500,4.042500,3.794978,170476000
2013-11-18,3.955000,3.990000,3.787500,3.795000,3.562633,110067600
2013-11-25,3.795000,3.952500,3.795000,3.900000,3.681032,129962000
2013-12-02,3.885000,3.997500,3.857500,3.867500,3.650356,171042000
2013-12-09,3.867500,3.907500,3.750000,3.755000,3.544173,176695600
2013-12-16,3.757500,3.925000,3.725000,3.922500,3.702269,157858000
2013-12-23,3.945000,3.982500,3.907500,3.940000,3.718786,62806400
2013-12-30,3.942500,4.025000,3.905000,3.917500,3.697549,100338000
2014-01-06,3.957500,4.110000,3.897500,3.932500,3.711707,156163600
2014-01-13,3.932500,4.062500,3.832500,3.997500,3.773058,122125600
2014-01-20,4.002500,4.037500,3.890000,3.890000,3.671593,101574000
2014-01-27,3.890000,3.947500,3.842500,3.925000,3.704629,110299600
2014-02-03,3.952500,3.972500,3.830000,3.967500,3.744743,125272400
2014-02-10,3.962500,4.487500,3.960000,4.477500,4.226109,302465600
2014-02-17,4.480000,4.747500,4.437500,4.660000,4.398361,172846800
2014-02-24,4.650000,4.762500,4.527500,4.595000,4.337010,171672000
2014-03-03,4.492500,4.692500,4.452500,4.590000,4.351852,143636000
2014-03-10,4.575000,4.607500,4.390000,4.455000,4.223857,168275600
2014-03-17,4.467500,4.727500,4.450000,4.635000,4.394517,171764400
2014-03-24,4.637500,4.742500,4.397500,4.475000,4.242818,210782400
2014-03-31,4.482500,4.795000,4.452500,4.537500,4.302078,213720400
2014-04-07,4.540000,4.777500,4.470000,4.530000,4.294966,204709600
2014-04-14,4.560000,4.682500,4.530000,4.640000,4.399258,98348800
2014-04-21,4.642500,4.865000,4.612500,4.682500,4.439553,133879600
2014-04-28,4.720000,4.745000,4.580000,4.607500,4.368446,105830800
2014-05-05,4.602500,4.742500,4.427500,4.512500,4.278373,192160800
2014-05-12,4.522500,4.657500,4.455000,4.490000,4.257041,134513600
2014-05-19,4.537500,4.660000,4.517500,4.622500,4.382666,114600800
2014-05-26,4.650000,4.782500,4.635000,4.750000,4.524294,84536800
2014-06-02,4.765000,4.800000,4.652500,4.757500,4.531437,93569600
2014-06-09,4.752500,4.932500,4.720000,4.885000,4.652879,129629200
2014-06-16,4.862500,4.922500,4.695000,4.732500,4.507625,139950400
2014-06-23,4.670000,4.707500,4.557500,4.595000,4.376658,146512800
