Date,Open,High,Low,Close,Adj Close,Volume,Log Return
2013-02-11,72.5,73.720001,70.980003,73.68,55.2799,39678400,0.0
2013-02-18,73.75,75.860001,73.480003,75.57,56.697876,29080100,0.02532737922931616
2013-02-25,75.68,76.330002,74.529999,75.93,56.967995,28722600,0.004752869196657017
2013-03-04,75.779999,77.410004,75.540001,77.199997,58.335083,25683000,0.0237140601800511
2013-03-11,77.120003,77.389999,76.650002,77.040001,58.214199,22976200,-0.0020743850373564103
2013-03-18,76.660004,79.269997,76.0,78.639999,59.42321,35023600,0.020555596736114255
2013-03-25,78.610001,79.129997,77.599998,79.110001,59.778355,20997200,0.005958748122716963
2013-04-01,78.760002,79.879997,78.300003,78.589996,59.385403,21111500,-0.006595183484118754
2013-04-08,78.57,80.480003,78.25,79.989998,60.443291,22118400,0.01765713118840251
2013-04-15,79.529999,83.449997,78.769997,82.769997,62.543972,45301400,0.034164274748611265
2013-04-22,82.290001,84.32,82.050003,82.510002,62.347507,28412700,-0.0031461740005109353
2013-04-29,82.510002,83.25,82.019997,82.830002,62.589329,18002000,0.003871112951596399
2013-05-06,82.699997,83.650002,82.220001,83.0,62.717773,17723200,0.0020500680797029746
2013-05-13,82.720001,84.779999,82.519997,83.800003,63.322262,20638500,0.00959208928846243
2013-05-20,83.790001,84.269997,81.510002,82.580002,62.400391,21447300,-0.014665416303528262
2013-05-27,83.089996,83.480003,80.699997,80.769997,61.032692,21171600,-0.022161886343414625
2013-06-03,80.669998,82.510002,79.730003,82.510002,62.347507,29779100,0.02131403232718106
2013-06-10,82.599998,83.190002,81.25,82.129997,62.495216,25264500,0.002366322447556349
2013-06-17,82.589996,82.93,78.769997,80.129997,60.97337,29945800,-0.02465279833536637
2013-06-24,78.68,82.540001,78.199997,81.790001,62.236523,27696000,0.020504802436427744
2013-07-01,81.959999,82.5,80.290001,80.800003,61.483189,16066600,-0.012178226061609253
2013-07-08,81.32,84.629997,81.07,84.32,64.161667,22334300,0.042642157288767746
2013-07-15,84.43,87.059998,83.309998,86.410004,65.752014,31324400,0.02448435662652203
2013-07-22,86.190002,86.940002,84.360001,85.309998,64.914986,26316200,-0.012811795621903745
2013-07-29,85.260002,85.989998,83.400002,84.290001,64.138832,26011200,-0.012028522211614252
2013-08-05,84.339996,85.43,83.769997,84.339996,64.17688,17722400,0.000593037290945499
2013-08-12,83.93,84.099998,79.940002,80.18,61.011406,20284800,-0.050582190924270645
