Date,Open,High,Low,Close,Adj Close,Volume
2013-02-11,22.809999,22.844999,22.195000,22.504999,19.645168,42534000
2013-02-18,22.570000,22.625000,21.900000,22.110001,19.349379,35056800
2013-02-25,22.205000,22.715000,21.715000,22.490000,19.681927,62683800
2013-03-04,22.510000,22.719999,22.270000,22.455000,19.651299,40910800
2013-03-11,22.440001,22.735001,22.264999,22.459999,19.655676,36873600
2013-03-18,22.275000,23.424999,22.250000,23.309999,20.399549,60556600
2013-03-25,23.379999,23.684999,23.264999,23.375000,20.456432,46676400
2013-04-01,23.424999,23.790001,23.299999,23.570000,20.627083,35041400
2013-04-08,23.475000,24.415001,23.405001,24.290001,21.257193,57158800
2013-04-15,24.160000,24.379999,23.309999,23.500000,20.565826,35048400
2013-04-22,23.580000,24.264999,23.379999,24.200001,21.178419,27675000
2013-04-29,24.230000,24.855000,24.055000,24.775000,21.681633,28290000
2013-05-06,24.754999,25.610001,24.549999,25.480000,22.298603,34214200
2013-05-13,25.480000,25.920000,25.250000,25.665001,22.460506,32361800
2013-05-20,25.639999,25.915001,24.805000,25.424999,22.314352,37372200
2013-05-27,25.639999,25.660000,24.875000,25.305000,22.209036,30542400
2013-06-03,25.275000,25.415001,24.730000,25.225000,22.138819,40529800
2013-06-10,25.295000,25.625000,24.875000,25.209999,22.125654,32914600
2013-06-17,25.295000,25.430000,24.455000,24.745001,21.717548,38847600
2013-06-24,24.610001,25.264999,24.355000,25.030001,21.967686,35735000
2013-07-01,25.200001,25.535000,24.855000,25.459999,22.345070,16905200
2013-07-08,25.575001,26.299999,25.465000,26.155001,22.955042,33660800
2013-07-15,26.135000,26.480000,26.004999,26.200001,22.994535,28245800
2013-07-22,26.030001,26.150000,25.584999,25.825001,22.665419,24669800
2013-07-29,25.760000,27.040001,25.680000,26.965000,23.665947,26285200
2013-08-05,26.879999,27.145000,26.135000,26.200001,22.994535,28521600
2013-08-12,26.080000,26.370001,25.230000,25.240000,22.151989,31324200
2013-08-19,25.205000,27.250000,25.155001,27.219999,23.956038,46291400
2013-08-26,27.205000,27.330000,26.264999,26.360001,23.199148,24433800
2013-09-02,26.594999,27.219999,26.495001,26.959999,23.727213,21361800
2013-09-09,26.809999,27.420000,26.805000,27.100000,23.850420,26996800
2013-09-16,27.270000,28.580000,27.219999,28.299999,24.906530,37903200
2013-09-23,28.160000,28.260000,27.730000,28.235001,24.849329,30567200
2013-09-30,27.950001,28.445000,27.910000,28.174999,24.796522,21212600
2013-10-07,27.969999,28.075001,27.315001,27.785000,24.453289,23086800
2013-10-14,27.629999,28.889999,27.625000,28.885000,25.421377,30084200
2013-10-21,28.885000,29.570000,28.594999,29.549999,26.006651,27558200
2013-10-28,29.510000,30.645000,29.309999,30.440001,26.789925,36170600
2013-11-04,30.434999,31.120001,30.174999,30.860001,27.159561,28063200
2013-11-11,30.860001,31.764999,30.645000,31.760000,27.951639,24903600
2013-11-18,31.889999,32.044998,31.110001,31.530001,27.814594,41407200
2013-11-25,31.785000,32.000000,31.424999,31.440001,27.735199,23200200
2013-12-02,31.490000,31.725000,30.815001,31.170000,27.497017,39838600
2013-12-09,31.740000,31.740000,30.540001,30.584999,26.980951,34549200
2013-12-16,30.705000,31.570000,30.545000,31.245001,27.563189,34493600
2013-12-23,31.420000,31.905001,31.230000,31.690001,27.955742,13112200
