Date,Open,High,Low,Close,Adj Close,Volume
2013-02-11,19.820000,20.920000,19.719999,20.700001,17.150930,13492650
2013-02-18,20.780001,20.840000,19.820000,19.900000,16.488091,11786100
2013-02-25,20.020000,20.180000,19.240000,19.620001,16.256098,13047750
2013-03-04,19.719999,21.740000,19.400000,21.620001,17.913193,22076750
2013-03-11,21.580000,21.620001,20.080000,20.760000,17.200642,18756800
2013-03-18,20.480000,21.340000,20.420000,21.080000,17.465776,12613850
2013-03-25,21.080000,22.080000,20.860001,21.799999,18.062330,15469500
2013-04-01,21.860001,22.780001,21.660000,22.440001,18.592602,22806300
2013-04-08,22.440001,23.600000,21.760000,23.040001,19.089731,57555700
2013-04-15,22.180000,22.620001,21.760000,22.240000,18.426891,32913300
2013-04-22,22.280001,24.120001,22.219999,23.780001,19.702856,37832400
2013-04-29,23.700001,23.980000,16.010000,17.500000,14.499578,82070750
2013-05-06,17.680000,18.670000,16.920000,18.639999,18.639999,28667900
2013-05-13,19.000000,20.049999,18.670000,19.920000,19.920000,26160400
2013-05-20,20.250000,21.219999,19.219999,20.540001,20.540001,26666700
2013-05-27,20.469999,21.870001,20.430000,21.430000,21.430000,17726400
2013-06-03,21.760000,21.969999,20.299999,21.309999,21.309999,29845600
2013-06-10,21.420000,22.969999,20.930000,22.160000,22.160000,20073500
2013-06-17,22.160000,23.290001,21.600000,22.820000,22.820000,24936400
2013-06-24,21.870001,25.020000,21.700001,24.809999,24.809999,27141900
2013-07-01,24.750000,24.870001,22.740000,23.459999,23.459999,16676300
2013-07-08,23.469999,25.049999,23.150000,24.940001,24.940001,23641000
2013-07-15,25.600000,25.719999,24.209999,24.559999,24.559999,15948100
2013-07-22,24.540001,24.719999,23.959999,24.170000,24.170000,7491500
2013-07-29,24.170000,24.740000,23.740000,24.719999,24.719999,10979800
2013-08-05,24.660000,25.900000,23.549999,25.230000,25.230000,22680900
2013-08-12,25.590000,25.700001,23.750000,23.850000,23.850000,16137200
