Date,Open,High,Low,Close,Adj Close,Volume
2013-02-11,34.180000,34.189999,33.299999,33.590000,25.721127,33668500
2013-02-18,33.720001,34.250000,32.189999,34.180000,26.172915,47032300
2013-02-25,34.200001,34.660000,33.619999,34.520000,26.433266,53609000
2013-03-04,34.439999,35.320000,34.110001,35.290001,27.022882,49044000
2013-03-11,35.270000,35.730000,34.849998,35.080002,26.862078,52618500
2013-03-18,34.209999,35.150002,34.209999,34.459999,26.387320,44842900
2013-03-25,34.560001,35.500000,34.310001,35.480000,27.168375,31668400
2013-04-01,35.259998,35.560001,33.810001,34.200001,26.188223,53954400
2013-04-08,34.290001,35.919998,34.259998,35.849998,27.451693,41295100
2013-04-15,35.580002,35.880001,33.560001,34.250000,26.226511,59246100
2013-04-22,34.310001,36.259998,34.060001,35.740002,27.367462,56253100
2013-04-29,35.980000,37.200001,35.680000,37.009998,28.561415,49365700
2013-05-06,37.189999,37.360001,36.810001,37.040001,28.584574,34813100
2013-05-13,36.919998,37.029999,36.459999,36.770000,28.376209,48673600
2013-05-20,36.750000,36.840000,35.529999,35.990002,27.774263,37855200
2013-05-27,36.650002,36.720001,35.869999,35.910000,27.712530,36852100
2013-06-03,35.939999,36.990002,35.209999,36.180000,27.920893,36210300
2013-06-10,36.250000,36.759998,34.580002,35.480000,27.380688,39419100
2013-06-17,35.799999,36.340000,34.400002,34.950001,26.971668,41887700
2013-06-24,34.820000,35.410000,34.099998,34.849998,26.894487,41573600
2013-07-01,34.950001,36.020000,34.810001,36.000000,27.781984,22881100
2013-07-08,36.130001,37.490002,35.410000,37.490002,28.931841,38243400
2013-07-15,37.490002,38.160000,37.130001,37.259998,28.754341,32432700
2013-07-22,37.549999,39.740002,37.220001,39.110001,30.182026,56273400
2013-07-29,38.619999,39.990002,38.540001,39.939999,30.822561,37932400
2013-08-05,39.720001,39.990002,39.419998,39.779999,30.920452,23833600
2013-08-12,39.480000,39.919998,38.360001,38.740002,30.112066,33608000
2013-08-19,38.939999,39.139999,38.000000,39.070000,30.368582,29530300
2013-08-26,39.160000,39.560001,38.060001,38.200001,29.692341,28614600
2013-09-02,38.619999,39.599998,38.480000,39.180000,30.454079,19836000
2013-09-09,39.389999,40.389999,39.250000,40.279999,31.309088,26932000
2013-09-16,40.500000,40.939999,40.279999,40.520000,31.495642,29354500
2013-09-23,40.500000,40.619999,40.000000,40.160000,31.215820,21716900
2013-09-30,39.880001,40.549999,39.680000,39.930000,31.037048,26157300
2013-10-07,39.610001,40.430000,38.919998,40.380001,31.386818,30020900
2013-10-14,40.230000,40.770000,39.740002,40.709999,31.643326,31516700
2013-10-21,40.549999,41.220001,39.189999,40.230000,31.270235,48586900
2013-10-28,40.130001,42.369999,40.090000,42.029999,32.669331,49633000
2013-11-04,42.180000,42.299999,41.500000,41.980000,32.870953,25594800
2013-11-11,41.939999,42.750000,41.509998,42.549999,33.317265,25943700
2013-11-18,42.619999,42.700001,41.810001,42.639999,33.387733,21293200
2013-11-25,42.660000,43.080002,41.939999,43.000000,33.669624,18902900
2013-12-02,42.950001,43.560001,42.220001,43.490002,34.053288,26581500
2013-12-09,43.650002,43.669998,41.910000,41.950001,32.847454,27004000
2013-12-16,42.180000,43.110001,42.049999,42.840000,33.544346,27664000
2013-12-23,43.000000,43.830002,42.900002,43.669998,34.194233,9146600
2013-12-30,43.500000,44.090000,42.880001,43.290001,33.896679,16729500
2014-01-06,43.250000,43.389999,42.619999,43.110001,33.755745,24593400
2014-01-13,42.959999,43.849998,42.119999,43.450001,34.021973,30958300
2014-01-20,43.750000,44.820000,42.880001,42.950001,33.630478,36148900
2014-01-27,42.950001,43.270000,41.259998,42.400002,33.199825,41860400
2014-02-03,42.419998,42.500000,40.330002,41.950001,33.078777,43193100
2014-02-10,41.970001,43.939999,41.889999,43.860001,34.584873,26793600
2014-02-17,43.750000,44.430000,43.240002,44.150002,34.813541,22213300
2014-02-24,44.220001,45.189999,44.070000,44.959999,35.452236,25264200
2014-03-03,44.680000,46.040001,44.150002,45.849998,36.154030,23561900
2014-03-10,45.910000,46.779999,44.290001,44.310001,34.939705,37809600
2014-03-17,44.540001,47.650002,44.410000,47.150002,37.179123,45206700
2014-03-24,46.799999,47.250000,46.000000,46.639999,36.776974,29580600
2014-03-31,47.060001,49.770000,46.230000,46.340000,36.540417,26317800
2014-04-07,46.290001,47.360001,44.730000,44.980000,35.468018,35365800
2014-04-14,45.759998,46.060001,44.540001,45.830002,36.138271,27131800
2014-04-21,46.180000,49.110001,45.540001,46.340000,36.540417,39673500
2014-04-28,46.459999,46.730000,45.150002,45.779999,36.098839,46403900
2014-05-05,45.490002,46.599998,45.080002,45.840000,36.381680,24557000
2014-05-12,46.130001,47.150002,44.680000,44.990002,35.707066,35859800
2014-05-19,45.209999,46.299999,45.130001,46.250000,36.707085,21269700
2014-05-26,46.380001,47.000000,45.970001,46.980000,37.286465,16122700
2014-06-02,47.000000,47.770000,45.650002,47.500000,37.699173,17836600
2014-06-09,47.540001,48.450001,47.480000,48.330002,38.357914,20953100
2014-06-16,48.049999,48.320000,47.560001,47.939999,38.048378,25940900
2014-06-23,47.980000,48.200001,46.549999,47.759998,37.905521,18019200
2014-06-30,47.669998,48.980000,47.480000,48.950001,38.849976,12339300
2014-07-07,48.730000,49.410000,48.279999,49.290001,39.119831,21219500
2014-07-14,49.439999,49.529999,48.060001,48.820000,38.746819,26027700
2014-07-21,48.080002,49.340000,46.770000,46.820000,37.159485,47488100
2014-07-28,46.849998,47.480000,46.020000,46.240002,36.699150,38754400
