Date,s&p(log),vix
2023-01-26,0.010947718,18.73
2023-01-27,0.002491703,18.51
2023-01-30,-0.01305356,19.940001
2023-01-31,0.014536285,19.4
2023-02-01,0.01039809,17.870001
2023-02-02,0.014592431,18.73
2023-02-03,-0.010408644,18.33
2023-02-06,-0.006159417,19.43
2023-02-07,0.012790383,18.66
2023-02-08,-0.01114254,19.629999
2023-02-09,-0.008869043,20.709999
2023-02-10,0.002192865,20.530001
2023-02-13,0.011383551,20.34
2023-02-14,-0.000280416,18.91
2023-02-15,0.002769286,18.23
2023-02-16,-0.013884644,20.17
2023-02-17,-0.002771285,20.02
2023-02-21,-0.020244784,22.870001
2023-02-22,-0.001574786,22.290001
2023-02-23,0.005315273,21.139999
2023-02-24,-0.010593457,21.67
